region,timezone,language,package,hours_use,sum_length,is_paid
CH,1,de,GPU_5,1,12,1
VN,8,vi,GPU_3A,0,25,1
EC,-5,es,GPU_4A,1,14,1
KR,9,ko,GPU_4A,1,143,1
ID,7,en,GPU_3A,0,10,1
BR,-3,pt,GPU_3A,1,31,0
IN,5,en,GPU_3A,7,37,1
AT,2,en,GPU_4A,1,68,1
CN,8,zh,GPU_1,3,9,0
IN,5,en,GPU_3A,1,104,1
AE,4,en,GPU_3A,0,32,1
US,-7,en,GPU_3A,6,171,1
VN,7,vi,GPU_3B,0,133,0
KR,9,ko,GPU_5A,1,31,1
IQ,3,en,GPU_3A,0,64,1
VN,7,vi,GPU_3A,2,36,0
BR,-3,en,GPU_1,2,10,0
MA,1,fr,GPU_3A,1,48,0
DE,2,en,GPU_4A,0,29,1
PL,1,en,GPU_3A,1,118,1
BR,-3,pt,GPU_3A,0,1,1
VN,7,en,GPU_3A,0,157,1
GB,0,en,GPU_3A,0,52,1
BE,1,nl,GPU_3A,0,9,1
PL,2,pl,GPU_3A,8,124,1
KZ,6,ru,GPU_3A,0,50,0
TH,7,zh,GPU_3A,0,41,0
TR,3,tr,GPU_1,0,24,0
KR,9,ko,GPU_8A,3,70,1
US,-5,en,GPU_4A,1,36,1
PL,2,en,GPU_5A,1,29,1
BR,-3,pt,GPU_3A,1,28,0
US,-5,en,GPU_3A,0,53,1
DE,1,de,GPU_3A,1,42,1
GB,2,en,GPU_4A,9,123,1
DE,2,de,GPU_4A,0,29,1
JP,9,ja,GPU_3A,0,13,1
TR,3,en,GPU_3A,0,36,0
UA,3,ru,GPU_3A,2,50,0
US,-5,en,GPU_1,3,12,0
KR,9,ko,GPU_1,2,11,0
CN,8,zh,GPU_9A,0,45,0
US,-5,en,GPU_3A,1,47,1
VN,7,en,GPU_5,1,17,1
IN,5,en,GPU_3A,1,27,0
IN,5,en,GPU_3A,1,27,1
KR,9,ko,GPU_4A,4,183,1
US,-8,en,GPU_5P,4,118,1
FR,2,fr,GPU_4A,3,469,1
GB,0,en,GPU_3A,2,30,1
HU,2,en,CPU_1,24,19,1
VN,7,vi,GPU_3A,1,28,1
ES,1,en,GPU_1,1,42,1
HU,1,en,GPU_3A,1,8,1
IQ,3,en,GPU_7A,0,4,1
PL,2,pl,GPU_5P,5,13,1
US,-7,en,GPU_3A,3,20,0
AE,4,en,GPU_3A,0,78,1
NL,1,en,GPU_3A,0,56,1
US,-4,en,GPU_3A,0,133,1
FR,2,fr,GPU_5P,0,63,1
GB,1,en,GPU_3A,1,87,1
GH,0,en,GPU_3A,2,64,1
US,-4,en,GPU_4A,0,59,1
IT,1,it,GPU_7A,0,7,1
VN,7,vi,GPU_3A,1,26,1
US,-7,en,GPU_9A,4,71,1
VN,7,en,GPU_3A,1,42,0
IN,5,en,GPU_3A,1,34,0
KR,9,en,GPU_3A,0,123,1
US,-4,en,GPU_3A,0,92,0
CH,2,en,GPU_4A,0,16,1
VN,7,vi,CPU_1,0,33,0
VN,7,vi,GPU_3A,1,42,1
EG,2,en,GPU_3A,1,45,1
FR,2,fr,GPU_3A,9,44,1
CH,2,it,GPU_3A,1,118,0
IT,2,en,GPU_4A,12,30,1
VN,7,en,GPU_4A,18,33,1
NG,1,en,CPU_1,2,14,1
NG,1,en,GPU_4A,2,8,1
DO,-4,es,GPU_3B,1,26,0
VN,7,en,CPU_1,3,10,1
GB,0,en,GPU_3A,2,42,1
SI,1,sl,GPU_1,1,14,1
NL,2,en,GPU_3A,0,54,1
US,-7,en,GPU_3A,0,5,0
CA,-4,en,GPU_3A,0,29,1
DE,2,en,GPU_3A,1,29,0
VN,7,vi,GPU_1,0,15,1
RU,3,zh,GPU_3A,0,47,1
DE,2,de,GPU_6,2,10,1
KR,9,ko,GPU_8A,1,70,1
FR,2,fr,GPU_4A,0,26,1
VN,7,vi,CPU_1,0,8,0
VN,7,vi,GPU_3A,1,77,1
KR,9,ko,GPU_8A,0,43,1
PK,5,en,GPU_3A,1,160,1
AU,10,en,GPU_5P,6,59,1
ZA,2,en,GPU_3A,1,31,1
AR,-3,es,GPU_3A,1,45,0
CA,-5,en,GPU_7A,0,0,1
US,-5,en,GPU_3A,2,71,1
NG,-7,en,GPU_4A,6,35,1
NG,1,en,GPU_5P,1,50,1
US,-8,en,GPU_3A,0,27,1
BE,1,en,GPU_8A,0,7,0
GI,2,en,GPU_3A,1,78,1
VN,7,en,CPU_1,4,33,1
MX,-6,en,GPU_3A,7,9,1
ES,2,es,GPU_3A,2,70,0
BR,-3,pt,GPU_3A,1,45,0
DE,2,de,GPU_3A,0,37,1
DE,2,tr,GPU_3A,2,135,1
FR,1,fr,GPU_5P,2,36,1
PT,0,en,GPU_3A,2,70,0
DK,2,en,GPU_3A,1,11,0
IN,5,en,GPU_1,2,107,1
MX,-5,es,GPU_3A,1,13,1
ID,7,en,CPU_1,6,0,0
CO,-5,es,GPU_3A,1,12,1
AE,4,en,GPU_8A,2,115,1
BR,-3,pt,GPU_4A,6,8,1
CN,8,en,GPU_3A,1,123,1
GB,0,en,GPU_5P,1,138,1
EC,-5,es,GPU_4A,0,17,1
ES,2,es,GPU_3A,2,32,0
CL,-4,es,GPU_4A,0,121,1
BR,-3,en,GPU_3A,0,50,0
GB,0,en,GPU_1,3,0,0
DK,2,en,GPU_3A,1,132,0
EE,3,en,GPU_3A,0,33,1
CA,-6,en,GPU_3A,1,58,1
VN,7,en,CPU_1,2,26,1
US,-6,en,GPU_1,3,11,0
FR,2,fr,GPU_3A,1,48,1
VN,7,en,GPU_3A,0,74,1
IL,2,en,GPU_9A,1,57,1
TR,3,tr,GPU_3A,1,30,1
US,-6,en,GPU_1,0,15,1
US,-7,en,GPU_3A,2,49,1
CM,1,fr,GPU_3A,0,61,1
KW,3,en,GPU_4A,4,26,1
TH,7,fr,GPU_4A,1,48,1
IT,1,it,GPU_1,0,11,0
ID,7,en,CPU_1,0,13,1
PL,1,pl,GPU_4A,0,70,1
CN,8,en,GPU_3A,0,78,1
BF,-7,en,GPU_3A,19,33,1
MX,-6,en,GPU_4A,1,9,1
VN,7,vi,CPU_1,0,46,1
FR,2,fr,GPU_3A,0,15,1
VN,7,vi,GPU_3A,1,29,1
MY,8,en,GPU_3A,2,83,1
HK,8,en,GPU_3A,0,23,1
DE,1,en,GPU_6,1,11,1
IT,2,en,GPU_3A,2,30,1
FR,1,en,GPU_8A,1,11,1
VN,7,vi,GPU_1,8,47,1
VN,7,vi,GPU_3A,27,105,1
SG,8,en,CPU_1,1,27,1
PT,0,pt,GPU_3A,0,48,0
VN,7,vi,GPU_4A,0,24,1
IR,-7,en,GPU_3A,0,25,1
FR,1,en,GPU_4A,0,47,1
US,-5,en,GPU_3A,0,3,1
US,-6,en,GPU_5P,0,35,1
EG,2,en,GPU_7A,9,67,1
VN,7,en,GPU_3A,0,7,0
CA,-7,en,GPU_4A,22,52,1
FR,2,fr,GPU_3A,0,133,1
VN,7,en,GPU_3A,4,17,1
IN,5,en,GPU_7A,2,21,1
US,-7,en,GPU_4A,18,91,1
DE,2,de,GPU_4A,1,40,1
ID,7,en,GPU_3A,0,270,1
GB,2,en,GPU_3A,1,64,0
SA,3,en,GPU_4A,0,90,1
US,-7,en,GPU_8A,2,23,1
CA,-4,en,GPU_3A,1,25,0
RU,3,ru,GPU_3A,0,31,1
VN,7,en,GPU_3A,0,24,0
TW,8,zh,GPU_8A,8,87,1
EG,2,en,GPU_3A,1,150,1
VN,7,vi,GPU_1,1,51,0
VN,7,vi,CPU_1,1,14,0
IN,5,en,GPU_4A,3,53,1
PS,3,en,GPU_3A,0,25,1
KW,3,en,GPU_4A,0,35,1
BR,-3,pt,GPU_3A,0,24,0
AU,10,en,GPU_8A,0,76,1
BR,-3,en,GPU_3A,1,332,1
VN,7,en,GPU_3A,1,33,1
US,-4,en,GPU_4A,0,16,1
GB,0,en,CPU_1,1,26,1
VN,7,vi,GPU_3A,1,36,1
VN,7,en,GPU_3A,0,45,1
IN,5,en,GPU_3A,2,53,0
SM,2,en,GPU_1,23,27,1
VN,7,vi,GPU_3A,2,17,0
GB,1,en,GPU_3A,0,25,0
US,-7,en,GPU_3A,1,11,1
KE,3,en,GPU_3A,2,84,0
MX,-6,es,GPU_3A,33,47,1
CA,-7,en,GPU_3A,8,403,1
VN,7,vi,GPU_3A,2,41,0
CZ,2,cs,GPU_5P,0,44,1
US,-6,en,GPU_3A,2,15,1
DE,2,en,GPU_3A,0,6,0
US,-5,en,GPU_3A,21,40,0
TR,3,tr,CPU_1,2,27,0
GB,1,en,GPU_5A,1,18,1
UA,2,en,CPU_1,2,40,1
MY,8,en,GPU_3A,1,39,1
US,-5,en,GPU_8A,0,19,1
VN,7,vi,GPU_5P,0,90,1
GB,1,en,GPU_3A,1,26,0
IN,5,en,GPU_3A,25,74,1
UA,3,ru,GPU_4A,1,28,0
VN,7,vi,GPU_8A,1,43,1
DE,1,de,GPU_3A,0,62,1
RO,3,hu,GPU_3A,1,28,1
VN,7,en,CPU_1,1,72,1
RU,3,en,GPU_4A,2,52,1
HN,-6,es,GPU_4A,0,25,0
AE,4,en,GPU_3A,2,57,1
VN,7,fr,GPU_3A,12,38,1
LT,3,ru,GPU_4A,0,28,1
CI,0,en,GPU_3A,1,28,0
US,-8,en,GPU_3A,2,114,1
GE,4,en,CPU_1,3,61,1
US,-5,en,GPU_7A,0,23,1
BR,-3,pt,GPU_1,6,79,1
VN,7,vi,GPU_3A,1,50,1
TR,3,en,GPU_3A,1,33,1
BR,-3,pt,GPU_3A,2,52,0
VN,7,en,GPU_3A,0,156,1
SE,2,sv,GPU_3A,1,12,1
BR,-3,pt,GPU_3A,2,50,0
IN,-8,en,GPU_3A,0,16,0
VN,7,en,GPU_1,1,23,0
VN,7,en,GPU_3A,5,133,1
DE,2,de,GPU_4A,0,29,1
MN,8,en,GPU_4A,1,38,1
PK,5,en,GPU_3A,0,115,1
NL,2,nl,GPU_3A,1,96,1
IN,5,en,GPU_5,1,4,1
JP,9,ja,GPU_4P,0,42,1
FR,2,fr,GPU_3A,3,27,0
CR,-6,en,GPU_1,2,7,0
GB,1,en,GPU_3A,2,30,0
CA,-7,en,GPU_3A,1,10,1
PH,8,en,GPU_3A,3,35,1
GB,0,en,GPU_1,0,27,1
US,-5,en,GPU_8A,0,46,1
VN,7,en,GPU_3A,1,54,0
BR,-3,pt,GPU_5,1,16,0
DK,2,da,CPU_1,2,23,1
CL,-4,es,GPU_8A,2,110,1
VN,7,vi,CPU_1,0,60,1
IN,5,en,CPU_1,0,24,0
DE,2,de,GPU_3A,0,26,1
BR,-3,pt,GPU_3A,0,33,1
US,-6,en,GPU_3A,0,133,1
US,3,tr,GPU_8A,0,18,1
CA,-5,en,GPU_3A,0,17,1
RU,3,ru,GPU_3A,0,26,1
CH,1,de,GPU_3A,1,54,1
ID,7,id,CPU_1,2,50,0
FR,2,fr,GPU_3A,0,17,1
US,-7,en,GPU_3B,1,35,1
IN,5,en,GPU_9A,0,48,1
TH,7,th,GPU_9A,0,85,1
JP,9,ja,GPU_9A,2,43,1
DE,1,de,GPU_3A,2,28,0
US,1,en,GPU_3B,1,325,1
BR,-3,en,GPU_3A,1,10,0
AE,4,en,GPU_3A,2,49,1
DE,2,de,GPU_5A,0,9,1
JP,9,ja,CPU_1,44,39,1
CA,-7,en,GPU_3A,0,11,1
CO,-5,en,GPU_3A,1,76,0
US,-7,en,GPU_3A,0,27,1
IT,2,it,GPU_3A,0,14,1
BB,-4,en,GPU_3A,0,9,1
VN,7,vi,GPU_3A,1,59,0
VN,7,vi,GPU_3A,4,34,1
IN,5,en,CPU_1,0,15,0
VN,7,en,GPU_4A,2,23,1
IN,5,en,GPU_3A,0,43,0
US,-6,en,GPU_3A,5,103,1
VN,7,vi,GPU_3A,2,164,1
RO,2,en,GPU_3A,1,11,1
YE,3,en,GPU_3A,1,40,1
HU,1,hu,GPU_3A,1,245,1
IN,5,en,GPU_1,1,28,0
US,-7,en,GPU_4P,6,259,1
IN,5,en,GPU_3A,1,48,0
AU,10,en,GPU_4A,0,33,1
BR,-3,pt,GPU_3A,0,9,0
AE,4,en,GPU_3A,1,80,1
TR,3,tr,GPU_9A,0,54,1
US,7,en,GPU_8A,1,28,1
CZ,2,cs,GPU_3A,10,71,1
RS,1,en,GPU_1,3,26,1
KR,9,ko,GPU_5A,0,10,1
US,-6,en,GPU_3A,0,41,1
IN,5,en,CPU_1,0,26,0
GB,1,en,GPU_4A,1,26,0
US,-4,en,GPU_3A,1,46,0
JP,9,en,GPU_3A,1,205,1
US,-4,en,GPU_9A,10,104,1
SA,3,en,GPU_6,0,0,1
US,-8,en,GPU_1,0,8,1
IN,5,en,GPU_3A,0,24,1
VN,7,en,GPU_3A,1,74,1
NL,2,nl,GPU_8A,3,133,1
ES,2,es,GPU_3A,0,19,1
GB,0,en,GPU_4A,1,28,1
VN,7,en,CPU_1,3,25,1
GE,-8,en,GPU_1,0,5,0
VN,7,en,GPU_3A,0,40,0
GB,0,en,GPU_1,1,5,0
VN,7,vi,GPU_1,0,13,0
VN,7,vi,GPU_3A,0,5,0
ZA,2,en,GPU_3A,1,75,0
IN,5,en,GPU_3A,0,56,1
NG,1,en,GPU_1,1,22,1
AE,4,en,GPU_5A,0,24,1
US,-5,en,GPU_4A,1,27,1
AU,11,en,GPU_1,1,23,0
VN,7,vi,GPU_4A,0,18,1
US,-4,en,GPU_3A,0,18,1
VN,7,en,GPU_3A,1,46,1
VN,7,en,CPU_1,0,32,1
US,-7,en,GPU_5A,0,17,1
VN,7,en,GPU_3A,3,45,1
VN,7,en,GPU_3A,1,133,1
PK,5,en,GPU_3A,1,36,0
US,-7,en,GPU_3A,1,61,1
IT,1,en,GPU_3A,1,72,1
IL,3,en,GPU_4A,9,59,1
BR,-3,pt,GPU_3A,0,7,0
US,-7,en,GPU_3A,0,28,1
BR,-3,pt,GPU_3A,2,61,1
US,-8,en,GPU_3A,1,12,0
AU,11,en,GPU_4A,5,126,1
AE,4,en,GPU_3A,0,15,1
US,-5,en,GPU_8A,0,10,1
KR,9,ko,GPU_8A,0,43,1
DE,2,de,GPU_3A,1,32,1
MY,8,en,GPU_3A,2,12,0
TH,7,en,GPU_3A,2,66,1
PK,5,en,GPU_9A,0,43,1
CR,-6,en,GPU_3A,2,23,1
RU,3,ru,GPU_3A,2,57,0
CA,-5,en,GPU_3A,0,0,1
BE,1,nl,GPU_9A,0,44,0
RW,2,en,GPU_3A,0,80,1
IE,1,en,GPU_6,1,31,1
GB,0,en,GPU_1,1,24,1
US,-7,en,GPU_3A,0,24,1
CY,3,en,GPU_4A,1,28,1
VN,7,en,GPU_5A,5,133,0
VN,9,en,GPU_4A,2,37,1
TR,3,tr,GPU_3A,2,29,0
VN,7,vi,GPU_3A,1,26,1
DE,1,de,GPU_9A,3,50,1
VN,7,en,GPU_3A,1,55,1
US,-7,en,GPU_3A,1,28,1
VN,7,vi,GPU_3A,0,35,0
MA,1,fr,CPU_1,5,24,0
PL,1,pl,GPU_3A,1,18,1
GB,1,en,GPU_4A,1,36,1
PL,2,pl,GPU_4A,2,24,0
GH,-8,en,GPU_3A,0,66,1
IT,1,it,GPU_4A,4,62,1
IR,3,en,GPU_3A,0,8,0
FR,1,fr,GPU_5,0,26,0
EE,3,et,GPU_3A,1,56,1
FR,1,fr,GPU_1,1,7,0
VN,7,en,CPU_1,26,24,1
DE,2,de,GPU_4P,0,43,1
VN,7,vi,CPU_1,3,15,0
VN,7,vi,GPU_3A,0,24,1
KR,9,ko,GPU_8A,0,46,1
ES,2,en,GPU_4A,4,84,1
RU,3,en,GPU_4A,1,54,1
KR,9,ko,GPU_3A,1,165,1
DE,2,de,GPU_8A,0,24,1
VN,7,en,GPU_3A,4,333,1
FR,1,en,GPU_4A,0,30,1
MD,2,en,GPU_3A,1,25,1
CN,8,en,GPU_5P,1,54,1
VN,7,vi,GPU_3A,1,98,1
US,-8,en,GPU_3A,26,8,1
CA,-6,en,GPU_3A,0,39,1
BE,1,fr,GPU_7A,0,11,1
VN,7,vi,CPU_1,1,175,1
CA,-4,en,GPU_3A,0,164,1
US,-7,en,GPU_3A,0,32,1
DE,1,de,GPU_5P,0,83,1
DE,1,de,GPU_9A,5,95,1
GB,1,en,GPU_6,0,25,1
VN,7,en,CPU_1,0,41,1
GB,0,en,CPU_1,1,10,1
TR,3,en,GPU_3A,0,28,0
US,-4,en,GPU_7A,1,161,1
RO,3,en,CPU_1,0,35,0
FR,2,fr,GPU_3A,1,259,1
US,-5,en,GPU_4A,1,29,1
DE,2,de,GPU_3A,3,35,1
MX,-7,en,GPU_3A,2,12,0
KR,9,ko,GPU_1,0,9,0
FO,0,en,GPU_3A,0,27,0
US,-5,en,GPU_5P,0,70,1
US,-4,en,GPU_3A,0,34,1
IT,2,it,CPU_1,2,24,0
VN,7,vi,CPU_1,8,25,0
VN,7,en,GPU_3A,1,213,1
IR,0,en,GPU_1,3,8,0
BO,-4,es,GPU_3A,0,64,1
VN,7,en,GPU_3A,2,140,0
KR,9,ko,GPU_3A,1,12,0
US,-4,en,GPU_3A,1,28,1
AT,2,de,GPU_3A,0,25,1
UA,2,ru,GPU_3A,0,19,1
VN,7,vi,GPU_3A,1,60,1
VN,7,en,GPU_3A,0,12,0
IN,5,en,GPU_3A,1,114,1
BR,-3,pt,GPU_3A,1,46,0
US,-4,en,GPU_3A,0,24,0
GR,3,el,GPU_6,1,11,1
DE,2,de,GPU_4P,0,40,1
VN,7,vi,GPU_4A,1,37,1
DE,1,de,GPU_3A,0,154,1
LV,-7,en,GPU_6,5,10,1
SA,3,en,GPU_3A,1,97,0
BR,-4,pt,GPU_3A,0,54,1
DE,2,de,GPU_9A,0,38,1
VN,7,vi,GPU_3A,0,64,1
US,-5,en,GPU_3A,0,10,1
VN,7,vi,GPU_3A,1,74,1
VN,7,en,CPU_1,2,19,1
US,-4,en,GPU_5P,3,43,1
DE,2,en,GPU_4A,0,9,1
TH,-7,en,GPU_4A,1,36,1
DK,1,en,GPU_1,0,22,0
GB,0,en,GPU_1,3,13,0
KR,9,ko,GPU_3A,0,49,1
GB,1,en,GPU_4A,1,26,1
AU,11,en,GPU_3A,9,49,1
VN,7,en,GPU_3A,0,72,0
MX,-5,es,CPU_1,1,30,0
DO,-4,es,GPU_3A,0,49,0
CA,-7,en,GPU_3A,0,41,0
PL,1,pl,GPU_5,2,8,0
KR,9,ko,GPU_8A,0,46,1
VN,7,en,GPU_3A,4,30,1
CN,8,zh,GPU_4A,6,39,1
VN,7,vi,CPU_1,1,12,0
JP,9,ja,GPU_4A,0,10,0
CO,-5,es,GPU_1,0,45,1
VN,7,vi,GPU_1,3,44,0
US,-7,en,GPU_5A,3,10,1
CA,-4,fr,GPU_3A,0,10,0
US,-6,en,GPU_3A,1,28,0
NL,1,en,GPU_3A,4,47,1
US,-4,en,GPU_7A,1,14,1
US,1,en,GPU_4A,3,42,1
US,-4,en,GPU_8A,2,15,1
VN,7,en,GPU_8A,1,55,1
IT,1,it,GPU_3A,1,71,1
CA,-7,en,GPU_5A,2,113,1
VN,7,vi,GPU_3A,1,45,0
PL,1,pl,GPU_4A,1,46,0
VN,7,en,CPU_1,1,21,0
CZ,1,en,GPU_8A,2,45,1
VN,7,en,GPU_9A,1,50,1
US,-8,en,GPU_9A,0,250,1
BN,7,en,GPU_3B,0,39,1
HK,2,en,GPU_3A,0,25,0
VN,7,vi,GPU_4A,0,36,0
NL,2,nl,GPU_3A,2,48,0
US,-5,en,GPU_4A,0,10,0
RO,3,en,GPU_3A,2,38,1
CH,2,de,GPU_9A,0,43,1
VN,7,vi,GPU_1,1,6,0
CA,-4,fr,CPU_1,3,60,1
AT,2,de,GPU_5A,1,24,0
UA,2,uk,GPU_3A,1,30,1
VN,7,vi,GPU_5,1,8,0
AT,2,de,GPU_5A,0,46,1
PT,1,pt,GPU_7A,1,31,1
ZA,2,en,GPU_3A,1,26,0
VN,7,en,GPU_3A,1,37,0
US,-8,en,GPU_3A,2,46,1
US,-8,en,GPU_3A,7,1,1
US,-5,en,GPU_8A,0,29,1
DE,1,de,GPU_3A,0,28,0
VN,7,vi,GPU_3A,28,58,1
VN,7,en,GPU_3A,2,84,1
VN,7,vi,GPU_3A,1,25,1
FR,2,fr,GPU_8A,1,171,1
PT,1,pt,GPU_4A,3,62,1
VN,7,en,CPU_1,6,35,0
VN,7,en,GPU_3A,1,9,1
PH,8,en,GPU_3A,0,44,1
VN,7,vi,GPU_3A,0,129,1
LT,3,en,GPU_3A,0,26,1
VN,7,vi,GPU_3A,2,30,0
DE,1,en,GPU_3A,0,6,1
VN,7,vi,GPU_1,22,43,1
US,-7,en,GPU_3A,2,46,1
ZA,2,en,GPU_3A,1,32,0
US,-4,en,GPU_3A,21,20,1
CA,-5,en,GPU_4A,1,32,0
DE,2,de,GPU_3A,0,25,1
VN,7,en,GPU_3A,2,119,1
FR,1,fr,GPU_3A,4,136,1
VN,7,vi,GPU_3A,1,89,0
UA,2,de,CPU_1,1,47,0
PL,1,pl,GPU_7A,1,14,1
VN,7,en,GPU_3A,3,28,1
TW,8,zh,GPU_3A,1,59,0
ZA,2,en,GPU_4A,0,140,1
VN,7,en,GPU_2,5,40,1
DE,1,de,GPU_3A,0,69,0
VN,7,en,GPU_3A,2,36,0
AE,4,en,GPU_1,1,20,1
US,-5,en,GPU_3A,2,101,1
TR,3,en,CPU_1,3,37,0
PH,8,en,GPU_3A,0,56,0
CA,-4,en,GPU_3A,1,41,1
ID,8,en,GPU_3A,2,95,1
VN,7,vi,GPU_3A,0,40,0
GB,0,en,GPU_3A,0,1,1
SE,1,sv,GPU_5P,1,38,1
HU,2,en,GPU_9A,0,36,1
BR,-3,pt,GPU_3A,6,48,1
VN,7,vi,GPU_4A,5,62,1
IT,1,it,GPU_3A,1,6,0
BE,2,fr,GPU_3A,1,17,1
BR,-3,pt,GPU_3A,1,54,0
CM,1,en,GPU_3A,0,106,1
IL,3,en,GPU_5P,17,54,1
KR,9,ko,GPU_8A,1,57,1
FR,2,fr,GPU_4A,0,22,0
ES,2,es,GPU_3A,1,133,1
CA,-4,en,GPU_3A,1,46,1
IT,1,it,CPU_1,0,4,0
AL,8,en,GPU_5,0,0,1
IT,1,it,GPU_7A,0,57,1
VN,7,vi,CPU_1,3,32,1
RU,5,ru,GPU_3A,1,46,0
GB,1,en,GPU_4A,0,11,1
US,-7,en,GPU_3A,2,41,1
MX,-6,en,GPU_1,0,10,1
VN,7,vi,GPU_3A,2,47,1
US,-6,en,GPU_3A,0,34,1
MT,2,en,GPU_4A,10,43,1
US,-7,en,GPU_3A,15,10,1
FR,1,fr,GPU_8A,10,42,1
IT,1,it,GPU_3A,0,25,1
VN,7,en,GPU_3A,1,76,0
PL,2,pl,GPU_4A,2,10,1
VN,7,vi,GPU_3A,0,133,0
AE,4,en,GPU_8A,1,15,1
BR,-3,pt,GPU_3A,1,51,0
TW,8,en,GPU_3A,2,377,1
DE,2,en,GPU_4A,2,13,1
FR,1,en,GPU_4A,1,28,0
AS,7,vi,GPU_9A,1,67,0
ES,2,es,GPU_3A,0,48,0
VN,7,vi,GPU_3A,4,24,0
TR,3,tr,GPU_4A,0,33,0
FR,1,fr,GPU_3A,24,31,1
VN,7,vi,CPU_1,6,6,0
NG,1,en,GPU_3A,1,10,1
US,-4,en,GPU_5A,11,14,1
CN,8,fr,GPU_3B,0,25,1
CD,2,en,GPU_3A,0,26,0
IL,3,he,GPU_3A,0,131,1
PL,2,en,GPU_3A,0,47,1
FR,2,fr,GPU_3A,6,52,1
VN,7,en,GPU_3A,0,24,0
IT,2,it,GPU_3A,0,104,1
VN,7,vi,GPU_3A,2,35,1
US,3,en,GPU_9A,0,42,1
LT,-5,en,GPU_1,1,21,1
ID,7,en,GPU_3A,0,66,0
DE,2,de,GPU_4A,0,26,1
IN,5,en,GPU_3A,1,28,1
VN,7,en,GPU_3A,2,25,0
IN,5,en,CPU_1,2,27,0
RO,2,ro,GPU_8A,0,46,1
GB,1,en,GPU_3A,1,10,1
GB,1,en,GPU_5P,0,58,1
PK,1,en,GPU_3A,0,45,0
GB,0,en,GPU_3A,1,50,1
QA,3,en,GPU_7A,1,61,1
CZ,2,cs,GPU_5A,1,19,1
VN,7,vi,CPU_1,0,64,1
US,-8,en,GPU_1,3,10,0
UY,-3,es,GPU_4A,0,9,1
TR,3,tr,GPU_3A,0,70,0
BD,6,en,GPU_3A,1,9,0
TR,3,tr,GPU_4A,0,33,0
NG,-5,en,GPU_7A,0,9,1
US,-5,en,GPU_3A,0,47,1
UG,3,en,CPU_1,1,10,0
RO,2,en,GPU_3A,25,29,1
HR,1,en,GPU_3A,13,84,1
AU,7,en,GPU_5A,0,26,0
IN,5,en,GPU_3A,1,26,1
KZ,6,ru,GPU_6,0,48,1
NL,2,nl,GPU_3A,5,102,1
ES,2,es,GPU_3A,2,28,0
US,-4,en,GPU_5A,0,9,1
IT,1,en,GPU_3A,0,51,1
VN,7,en,CPU_1,1,61,1
IT,3,en,GPU_3A,2,46,1
ID,7,en,GPU_3A,0,35,1
US,3,en,GPU_8A,1,15,1
HU,1,en,GPU_4A,1,44,1
BR,-3,pt,GPU_3A,0,39,0
CZ,1,cs,GPU_3A,1,67,1
VN,7,vi,GPU_3A,10,104,1
US,-4,en,GPU_5A,1,12,1
DE,2,en,GPU_4A,0,21,1
GB,1,en,GPU_3A,0,27,0
NZ,12,en,CPU_1,0,26,0
AE,4,en,GPU_8A,1,38,1
TH,7,th,GPU_3A,6,208,1
AE,4,en,GPU_1,1,58,1
LV,2,lv,GPU_3A,1,2,0
US,-4,en,GPU_4A,4,41,1
VN,7,vi,GPU_3A,0,26,0
US,1,en,GPU_3A,1,33,1
VN,7,vi,CPU_1,98,30,1
VN,7,en,GPU_3A,0,52,1
IQ,3,en,GPU_3A,0,11,1
IN,5,en,GPU_8A,20,117,1
CA,-8,en,GPU_3A,19,75,1
VN,7,vi,CPU_1,6,0,0
ZA,2,en,GPU_1,3,10,0
VN,7,vi,GPU_1,0,7,1
US,-7,en,GPU_3A,0,28,0
TW,8,zh,GPU_5P,2,78,1
IT,1,it,GPU_3A,0,10,1
LK,1,en,GPU_3A,1,75,0
MY,8,en,GPU_5,0,6,0
VN,7,en,GPU_4A,1,31,1
VN,7,vi,GPU_1,7,46,1
MX,-6,en,GPU_3A,1,32,1
EE,3,en,GPU_3A,1,20,1
VN,7,en,GPU_3A,2,30,0
DE,2,de,GPU_7A,1,25,1
VN,7,vi,GPU_3A,0,5,0
US,-4,en,GPU_4A,7,10,1
VN,7,vi,GPU_3A,6,110,1
IT,2,it,GPU_3A,13,27,1
IN,5,en,GPU_3A,0,36,0
VN,7,vi,GPU_3A,0,156,1
ID,7,en,GPU_5P,5,15,1
VN,7,vi,GPU_3A,2,39,0
VN,7,vi,GPU_1,1,0,1
VN,7,en,GPU_3A,1,34,1
US,-4,en,GPU_5A,1,18,1
PH,8,en,GPU_3A,0,27,0
VN,7,vi,GPU_3A,0,26,0
VN,7,en,GPU_3A,1,29,1
US,-4,en,GPU_6,0,2,1
BR,-3,pt,GPU_4A,1,24,0
US,-4,en,GPU_3B,0,24,0
VN,7,vi,GPU_3A,1,15,0
NL,2,en,GPU_4A,0,9,1
IT,1,it,GPU_3A,2,77,1
GB,1,en,GPU_3A,3,82,1
VN,7,en,GPU_3A,4,117,1
DE,2,de,GPU_3A,1,63,1
KR,9,ko,GPU_4A,2,72,1
UZ,5,ru,GPU_3A,2,151,1
RU,3,ru,GPU_3A,0,52,1
IN,5,en,GPU_3A,1,133,0
FR,2,fr,GPU_3A,3,50,1
US,-4,en,GPU_4A,5,259,1
US,-5,en,GPU_3A,16,64,1
IT,2,it,CPU_1,0,28,0
